url,address,city_state_zip,full_address,lat,lon,address2,housing_type,baths,beds,sqft,soundscore,noise,central_air,date_sold,garage,lot_size,patio,porch, sold_price ,year_built
https://www.redfin.com/TX/Austin/3812-Half-Penny-Rd-78722/home/31407826,3812 Half Penny Rd,"Austin, TX 78722","3812 Half Penny RdAustin, TX 78722",30.29199,-97.7126,,House,1,3,1332,72,Moderate Noise,N,9/18/2019,N,8965,Y,Y,455000,1950
https://www.redfin.com/TX/Austin/4011-Vineland-Dr-78722/home/31407674,4011 Vineland Dr,"Austin, TX 78722","4011 Vineland DrAustin, TX 78722",30.29301,-97.7087,,House,2,3,1828,72,Moderate Noise,N,11/26/2018,Y,11326,Y,Y,585000,1963
https://www.redfin.com/TX/Austin/2932-Eckert-St-78722/home/31393099,2932 Eckert St,"Austin, TX 78722","2932 Eckert St Austin, TX 78722",30.2836,-97.70647,,House,1,3,950,73,Moderate Noise,N,5/1/2021,N,5645,N,N,415000,1948
https://www.redfin.com/TX/Austin/2935-Eckert-St-78722/home/31393212,"2935 Eckert St, Austin","Austin, TX 78722","2935 Eckert St, Austin Austin, TX 78722",30.28327,-97.7062,,House,2,3,1375,73,Moderate Noise,Y,11/25/2020,Y,6360,Y,Y,430000,1948
https://www.redfin.com/TX/Austin/1708-E-38th-1-2-St-78722/home/31407618,"1708 E 38 1/2 St,","Austin, TX 78722","1708 E 38 1/2 St, Austin, TX 78722",30.29118,-97.71192,,House,1,2,1114,73,Moderate Noise,N,1/10/2020,N,7840,N,N,465000,1951
https://www.redfin.com/TX/Austin/2933-Eckert-St-78722/home/31393211,2933 Eckert St,"Austin, TX 78722","2933 Eckert St Austin, TX 78722",30.28326,-97.70636,,House,1,2,766,73,Moderate Noise,Y,3/12/2021,Y,6447,N,Y,480000,1948
https://www.redfin.com/TX/Austin/2931-Eckert-St-78722/unit-A/home/31157097,2931 Eckert St ,"Austin, TX 78722","2931 Eckert St  Austin, TX 78722",30.28324,-97.70663,Unit A,House,2.5,3,1600,73,Moderate Noise,Y,8/18/2020,N,7013,Y,Y,530000,2007
https://www.redfin.com/TX/Austin/1726-E-32nd-St-78722/home/31396215,1726 E 32nd St,"Austin, TX 78722","1726 E 32nd St Austin, TX 78722",30.28641,-97.71463,,House,2,2,1001,73,Moderate Noise,Y,11/25/2020,Y,9287,Y,Y,570000,1957
https://www.redfin.com/TX/Austin/3109-Walnut-Ave-78722/unit-1/home/173263094,3109 Walnut Ave,"Austin, TX 78722","3109 Walnut Ave Austin, TX 78722",30.286,-97.7141," #1,",House,2,3,2370,73,Moderate Noise,N,3/9/2021,N,6534,N,N,650000,1953
https://www.redfin.com/TX/Austin/3902-Sycamore-Dr-78722/home/31407809,"3902 Sycamore Dr,","Austin, TX 78722","3902 Sycamore Dr, Austin, TX 78722",30.29269,-97.71217,,House,2,3,1962,73,Moderate Noise,Y,11/27/2020,Y,8712,Y,Y,739022,1952
https://www.redfin.com/TX/Austin/1911-Chestnut-Ave-78722/home/31393580,1911 Chestnut Ave,"Austin, TX 78722","1911 Chestnut Ave Austin, TX 78722",30.28146,-97.71726,,House,2,2,1443,73,Moderate Noise,N,3/9/2021,N,8673,N,N,844000,1962
https://www.redfin.com/TX/Austin/2003-Rountree-Dr-78722/unit-2/home/168212200,2003 Rountree Dr,"Austin, TX 78722","2003 Rountree DrAustin, TX 78722",30.28309,-97.7067,#2,House,1.5,2,920,73,Moderate Noise,Y,10/29/2019,Y,6142,N,N,355000,2019
https://www.redfin.com/TX/Austin/2007-Alamo-St-78722/unit-B/home/109917249,2007 Alamo St,"Austin, TX 78722","2007 Alamo StAustin, TX 78722",30.28173,-97.7195,Unit B,House,1,2,730,73,Moderate Noise,N,12/6/2019,N,3092,Y,Y,305350,1930
https://www.redfin.com/TX/Austin/2101-Rountree-Dr-78722/home/31393192,"2101 Rountree Dr,","Austin, TX 78722","2101 Rountree Dr,Austin, TX 78722",30.28362,-97.7067,,House,1,3,1025,73,Moderate Noise,Y,5/22/2018,N,6486,Y,Y,370000,1948
https://www.redfin.com/TX/Austin/2934-Eckert-St-78722/home/31393096,"2934 Eckert St,","Austin, TX 78722","2934 Eckert St,Austin, TX 78722",30.28361,-97.7063,,House,1,2,840,73,Moderate Noise,N,6/22/2017,N,5793,N,N,265000,1948
https://www.redfin.com/TX/Austin/3207-Merrie-Lynn-Ave-78722/unit-A/home/40947436,3207 Merrie Lynn Ave,"Austin, TX 78722","3207 Merrie Lynn Ave Austin, TX 78722",30.2861,-97.712,"Unit A,",House,2.5,3,1604,73,Moderate Noise,Y,12/4/2019,N,3930,N,Y,500000,2009
https://www.redfin.com/TX/Austin/3317-Cherrywood-Rd-78722/unit-A/home/31402408,3317 Cherrywood Rd,"Austin, TX 78722","3317 Cherrywood RdAustin, TX 78722",30.28905,-97.7151,,House,2,3,1248,73,Moderate Noise,N,10/31/2016,N,7427,N,N,420000,1951
https://www.redfin.com/TX/Austin/3506-Banton-Rd-78722/home/31402187,"3506 Banton Rd,","Austin, TX 78722","3506 Banton Rd,Austin, TX 78722",30.2873,-97.7087,,House,1,2,992,73,Moderate Noise,Y,5/6/2019,N,13068,Y,N,391500,1949
https://www.redfin.com/TX/Austin/3709-Grayson-Ln-78722/unit-B/home/31402157,3709 Grayson Ln W,"Austin, TX 78722","3709 Grayson Ln W Austin, TX 78722",30.28859,-97.7086,Unit B,House,2.5,3,1827,73,Moderate Noise,Y,1/17/2019,N,8668,Y,Y,475000,2018
